order_id,order_date,customer_id,customer_name,region,country,product_category,product_subcategory,product_name,units_sold,unit_price,cost,revenue,profit,order_status,channel,order_month,profit_margin
1001,2024-01-15,C001,Elite Interiors,North America,Usa,Furniture,Office Chairs,Ergo Mesh Chair,12,125.0,720.0,1500.0,780.0,Completed,Online,2024-01,0.52
1002,2024-01-25,C002,Blue Wave Retail,Europe,Germany,Technology,Accessories,Wireless Mouse,45,25.0,600.0,1125.0,525.0,Completed,Offline,2024-01,0.4667
1003,2024-02-05,C003,Metra Supplies,Asia,India,Office Supplies,Paper,Premium Printer Paper,80,8.5,320.0,680.0,360.0,Completed,Online,2024-02,0.5294
1004,2024-02-18,C004,Greenfield Stores,South America,Brazil,Technology,Laptops,Ultrabook Pro,7,950.0,5600.0,6650.0,1050.0,Completed,Online,2024-02,0.1579
1005,2024-03-15,C005,Capital Furniture,North America,Canada,Furniture,Desks,Executive Standing Desk,5,450.0,2200.0,2250.0,50.0,Completed,Offline,2024-03,0.0222
1006,2024-03-22,C006,Urban Clothes,Europe,France,Clothing,Apparel,Winter Jacket,30,75.0,1200.0,2250.0,1050.0,Completed,Online,2024-03,0.4667
1007,2024-04-02,C007,Sunrise Retail,Asia,Japan,Technology,Phones,Smartphone X,18,650.0,9000.0,11700.0,2700.0,Completed,Online,2024-04,0.2308
1008,2024-04-10,C008,Northern Mart,North America,Usa,Food,Beverages,Organic Coffee Beans,90,14.0,810.0,1260.0,450.0,Completed,Offline,2024-04,0.3571
1009,2024-05-05,C009,Value Comfort,Europe,Uk,Furniture,Storage,Modular Shelf Unit,22,130.0,1650.0,2860.0,1210.0,Completed,Online,2024-05,0.4231
1010,2024-05-16,C010,Fresh Retail,Asia,China,Food,Snacks,Health Bars,110,3.2,220.0,352.0,132.0,Completed,Offline,2024-05,0.375
1011,2024-05-28,C011,Omega Supplies,North America,Mexico,Office Supplies,Stationery,Executive Pen Set,65,12.0,390.0,780.0,390.0,Completed,Online,2024-05,0.5
1012,2024-06-12,C012,Urban Goods,Europe,Spain,Clothing,Shoes,Running Sneakers,38,85.0,1900.0,3230.0,1330.0,Completed,Offline,2024-06,0.4118
1013,2024-06-20,C013,Metro Traders,Asia,Singapore,Technology,Accessories,Noise-Cancelling Headphones,25,120.0,1800.0,3000.0,1200.0,Completed,Online,2024-06,0.4
